Category,Name,Url,WordCount,ScriptCount,StylesheetCount,LinkCount,FormCount,ImageCount,VideoCount,IframeCount,MetaDescription,Title,CookieStatus
BoardGame,AEG,https://alderac.com/,1047,69,88,162,2,66,0,1,"Welcome to Alderac Entertainment Group's website, where adventure awaits! Here, you'll find a world of imagination and possibility, with an endless array of games and products designed to ignite your passion for gaming.",Home Page - ALDERAC ENTERTAINMENT GROUP,No
BoardGame,Gamewright,https://gamewright.com/,183,11,8,78,1,1,0,2,Gamewright was founded by four parents whose kids wanted great games. Our mission: Create the highest quality family games with outstanding play-value.,"Gamewright | Award-winning Family Games | Board, Dice, Party",No
BoardGame,Indie Boards & Cards,https://indieboardsandcards.com/,322,45,21,67,1,52,0,0,,Home - Indie Boards and Cards,Yes
BoardGame,Renegade Game Studios,https://renegadegamestudios.com/,1541,62,2,371,3,86,0,1,Renegade Games Online Store,Renegade Games Studios,No
BoardGame,Stronghold Games,https://strongholdgames.com/,207,45,20,51,1,39,0,0,,Home - Stronghold Games,Yes
BoardGame,The OP,https://theop.games/,480,55,3,232,4,44,0,1,"We are The Op Games | usaopoly, a leading developer and manufacturer of board games and puzzles. We've been producing the world's most beloved games ""with a twist"" under license from Hasbro, since 1994. Party games | Strategy Games | clue board game | monopoly board games | Puzzles | Harry Potter | Disney | Marvel","The Op Games | usaopoly | Board Games, Puzzles, Dice and More!",No
Computer,AMD,https://amd.com/,1502,9,6,399,0,53,0,0,"AMD delivers leadership high-performance and adaptive computing solutions to advance data center AI, AI PCs, intelligent edge devices, gaming, & beyond.",AMD × together we advance_AI,No
Computer,Acer,https://acer.com/,649,20,4,310,0,42,1,1,"Shop the latest Acer products, from Chromebooks, laptops, monitors, desktop PCs, and projectors for office, home, and entertainment use.","Acer Laptops, Desktops, Chromebooks, Monitors & Projectors | Acer United States",No
Computer,Apple,https://apple.com/,930,17,7,121,1,0,0,0,,Apple,No
Computer,HP,https://hp.com/,1399,17,10,514,0,16,0,1,"Learn about HP laptops, pc desktops, printers, accessories and more at the Official HP® Website.","Laptop Computers, Desktops, Printers, Ink & Toner  | HP® Official Site",No
Computer,Lenovo,https://lenovo.com/,1555,40,6,299,1,102,0,1,"Get the best deals on Lenovo laptops, tablets and PCs at our computer store. Shop now and save big!call our sales team ☎ 1-855-2-LENOVO (1-855-253-6686)","
    Lenovo Official US Site | Laptops, PCs, Tablets & Servers | Lenovo US
",No
Electronics,HP,https://hp.com/,1399,19,10,514,0,17,0,1,"Learn about HP laptops, pc desktops, printers, accessories and more at the Official HP® Website.","Laptop Computers, Desktops, Printers, Ink & Toner  | HP® Official Site",No
Electronics,LG,https://lg.com/,23,0,0,0,0,1,0,0,,LG USA undermaintenance page,No
Electronics,Lenovo,https://lenovo.com/,1555,40,6,299,1,102,0,1,"Get the best deals on Lenovo laptops, tablets and PCs at our computer store. Shop now and save big!call our sales team ☎ 1-855-2-LENOVO (1-855-253-6686)","
    Lenovo Official US Site | Laptops, PCs, Tablets & Servers | Lenovo US
",No
Electronics,Samsung,https://samsung.com/,4408,32,16,428,8,205,0,1,Discover the latest in electronic & smart appliance technology with Samsung. Find the next big thing from smartphones & tablets to laptops & tvs & more.,Samsung US | Mobile | TV | Home Electronics | Home Appliances | Samsung US,No
Electronics,Sony,https://sony.com/,747,20,11,213,0,22,1,2,"Learn about Sony Group Corporation's Businesses and Products; our initiatives in Technology, Sustainability, and Design; and recent Press Releases, Career opportunities, and Investor Relations info.",Sony Group Portal - Home,Yes
